,longitude,latitude,thickness
0,-179.5,89.5,3.0
1,-178.5,89.5,3.0
2,-177.5,89.5,3.0
3,-176.5,89.5,3.0
4,-175.5,89.5,3.0
5,-174.5,89.5,3.0
6,-173.5,89.5,3.0
7,-172.5,89.5,3.0
8,-171.5,89.5,3.0
9,-170.5,89.5,3.0
10,-169.5,89.5,3.0
11,-168.5,89.5,3.0
12,-167.5,89.5,3.0
13,-166.5,89.5,3.0
14,-165.5,89.5,3.0
15,-164.5,89.5,3.0
16,-163.5,89.5,3.0
17,-162.5,89.5,3.0
18,-161.5,89.5,3.0
19,-160.5,89.5,3.0
20,-159.5,89.5,3.0
21,-158.5,89.5,3.0
22,-157.5,89.5,3.0
23,-156.5,89.5,3.0
24,-155.5,89.5,3.0
25,-154.5,89.5,3.0
26,-153.5,89.5,3.0
27,-152.5,89.5,3.0
28,-151.5,89.5,3.0
29,-150.5,89.5,3.0
30,-149.5,89.5,3.0
31,-148.5,89.5,3.0
32,-147.5,89.5,3.0
33,-146.5,89.5,3.0
34,-145.5,89.5,3.0
35,-144.5,89.5,3.0
36,-143.5,89.5,3.0
37,-142.5,89.5,3.0
38,-141.5,89.5,3.0
39,-140.5,89.5,3.0
40,-139.5,89.5,3.0
41,-138.5,89.5,3.0
42,-137.5,89.5,3.0
43,-136.5,89.5,3.0
44,-135.5,89.5,3.0
45,-134.5,89.5,3.0
46,-133.5,89.5,3.0
47,-132.5,89.5,3.0
48,-131.5,89.5,3.0
49,-130.5,89.5,3.0
50,-129.5,89.5,3.0
51,-128.5,89.5,3.0
52,-127.5,89.5,3.0
53,-126.5,89.5,3.0
54,-125.5,89.5,3.0
55,-124.5,89.5,3.0
56,-123.5,89.5,3.0
57,-122.5,89.5,3.0
58,-121.5,89.5,3.0
59,-120.5,89.5,3.0
60,-119.5,89.5,3.0
61,-118.5,89.5,3.0
62,-117.5,89.5,3.0
63,-116.5,89.5,3.0
64,-115.5,89.5,3.0
65,-114.5,89.5,3.0
66,-113.5,89.5,3.0
67,-112.5,89.5,3.0
68,-111.5,89.5,3.0
69,-110.5,89.5,3.0
70,-109.5,89.5,3.0
71,-108.5,89.5,3.0
72,-107.5,89.5,3.0
73,-106.5,89.5,3.0
74,-105.5,89.5,3.0
75,-104.5,89.5,3.0
76,-103.5,89.5,3.0
77,-102.5,89.5,3.0
78,-101.5,89.5,3.0
79,-100.5,89.5,3.0
80,-99.5,89.5,3.0
81,-98.5,89.5,3.0
82,-97.5,89.5,3.0
83,-96.5,89.5,3.0
84,-95.5,89.5,3.0
85,-94.5,89.5,3.0
86,-93.5,89.5,3.0
87,-92.5,89.5,3.0
88,-91.5,89.5,3.0
89,-90.5,89.5,3.0
90,-89.5,89.5,3.0
91,-88.5,89.5,3.0
92,-87.5,89.5,3.0
93,-86.5,89.5,3.0
94,-85.5,89.5,3.0
95,-84.5,89.5,3.0
96,-83.5,89.5,3.0
97,-82.5,89.5,3.0
98,-81.5,89.5,3.0
99,-80.5,89.5,3.0
100,-79.5,89.5,3.0
101,-78.5,89.5,3.0
102,-77.5,89.5,3.0
103,-76.5,89.5,3.0
104,-75.5,89.5,3.0
105,-74.5,89.5,3.0
106,-73.5,89.5,3.0
107,-72.5,89.5,3.0
108,-71.5,89.5,3.0
109,-70.5,89.5,3.0
110,-69.5,89.5,3.0
111,-68.5,89.5,3.0
112,-67.5,89.5,3.0
113,-66.5,89.5,3.0
114,-65.5,89.5,3.0
115,-64.5,89.5,3.0
116,-63.5,89.5,3.0
117,-62.5,89.5,3.0
118,-61.5,89.5,3.0
119,-60.5,89.5,3.0
120,-59.5,89.5,3.0
121,-58.5,89.5,3.0
122,-57.5,89.5,3.0
123,-56.5,89.5,3.0
124,-55.5,89.5,3.0
125,-54.5,89.5,3.0
126,-53.5,89.5,3.0
127,-52.5,89.5,3.0
128,-51.5,89.5,3.0
129,-50.5,89.5,3.0
130,-49.5,89.5,3.0
131,-48.5,89.5,3.0
132,-47.5,89.5,3.0
133,-46.5,89.5,3.0
134,-45.5,89.5,3.0
135,-44.5,89.5,3.0
136,-43.5,89.5,3.0
137,-42.5,89.5,3.0
138,-41.5,89.5,3.0
139,-40.5,89.5,3.0
140,-39.5,89.5,3.0
141,-38.5,89.5,3.0
142,-37.5,89.5,3.0
143,-36.5,89.5,3.0
144,-35.5,89.5,3.0
145,-34.5,89.5,3.0
146,-33.5,89.5,3.0
147,-32.5,89.5,3.0
148,-31.5,89.5,3.0
149,-30.5,89.5,3.0
150,-29.5,89.5,3.0
151,-28.5,89.5,3.0
152,-27.5,89.5,3.0
153,-26.5,89.5,3.0
154,-25.5,89.5,3.0
155,-24.5,89.5,3.0
156,-23.5,89.5,3.0
157,-22.5,89.5,3.0
158,-21.5,89.5,3.0
159,-20.5,89.5,3.0
160,-19.5,89.5,3.0
161,-18.5,89.5,3.0
162,-17.5,89.5,3.0
163,-16.5,89.5,3.0
164,-15.5,89.5,3.0
165,-14.5,89.5,3.0
166,-13.5,89.5,3.0
167,-12.5,89.5,3.0
168,-11.5,89.5,3.0
169,-10.5,89.5,3.0
170,-9.5,89.5,3.0
171,-8.5,89.5,3.0
172,-7.5,89.5,3.0
173,-6.5,89.5,3.0
174,-5.5,89.5,3.0
175,-4.5,89.5,3.0
176,-3.5,89.5,3.0
177,-2.5,89.5,3.0
178,-1.5,89.5,3.0
179,-0.5,89.5,3.0
180,0.5,89.5,3.0
181,1.5,89.5,3.0
182,2.5,89.5,3.0
183,3.5,89.5,3.0
184,4.5,89.5,3.0
185,5.5,89.5,3.0
186,6.5,89.5,3.0
187,7.5,89.5,3.0
188,8.5,89.5,3.0
189,9.5,89.5,3.0
190,10.5,89.5,3.0
191,11.5,89.5,3.0
192,12.5,89.5,3.0
193,13.5,89.5,3.0
194,14.5,89.5,3.0
195,15.5,89.5,3.0
196,16.5,89.5,3.0
197,17.5,89.5,3.0
198,18.5,89.5,3.0
199,19.5,89.5,3.0
200,20.5,89.5,3.0
201,21.5,89.5,3.0
202,22.5,89.5,3.0
203,23.5,89.5,3.0
204,24.5,89.5,3.0
205,25.5,89.5,3.0
206,26.5,89.5,3.0
207,27.5,89.5,3.0
208,28.5,89.5,3.0
209,29.5,89.5,3.0
210,30.5,89.5,3.0
211,31.5,89.5,3.0
212,32.5,89.5,3.0
213,33.5,89.5,3.0
214,34.5,89.5,3.0
215,35.5,89.5,3.0
216,36.5,89.5,3.0
217,37.5,89.5,3.0
218,38.5,89.5,3.0
219,39.5,89.5,3.0
220,40.5,89.5,3.0
221,41.5,89.5,3.0
222,42.5,89.5,3.0
223,43.5,89.5,3.0
224,44.5,89.5,3.0
225,45.5,89.5,3.0
226,46.5,89.5,3.0
227,47.5,89.5,3.0
228,48.5,89.5,3.0
229,49.5,89.5,3.0
230,50.5,89.5,3.0
231,51.5,89.5,3.0
232,52.5,89.5,3.0
233,53.5,89.5,3.0
234,54.5,89.5,3.0
235,55.5,89.5,3.0
236,56.5,89.5,3.0
237,57.5,89.5,3.0
238,58.5,89.5,3.0
239,59.5,89.5,3.0
240,60.5,89.5,3.0
241,61.5,89.5,3.0
242,62.5,89.5,3.0
243,63.5,89.5,3.0
244,64.5,89.5,3.0
245,65.5,89.5,3.0
246,66.5,89.5,3.0
247,67.5,89.5,3.0
248,68.5,89.5,3.0
249,69.5,89.5,3.0
250,70.5,89.5,3.0
251,71.5,89.5,3.0
252,72.5,89.5,3.0
253,73.5,89.5,3.0
254,74.5,89.5,3.0
255,75.5,89.5,3.0
256,76.5,89.5,3.0
257,77.5,89.5,3.0
258,78.5,89.5,3.0
259,79.5,89.5,3.0
260,80.5,89.5,3.0
261,81.5,89.5,3.0
262,82.5,89.5,3.0
263,83.5,89.5,3.0
264,84.5,89.5,3.0
265,85.5,89.5,3.0
266,86.5,89.5,3.0
267,87.5,89.5,3.0
268,88.5,89.5,3.0
269,89.5,89.5,3.0
270,90.5,89.5,3.0
271,91.5,89.5,3.0
272,92.5,89.5,3.0
273,93.5,89.5,3.0
274,94.5,89.5,3.0
275,95.5,89.5,3.0
276,96.5,89.5,3.0
277,97.5,89.5,3.0
278,98.5,89.5,3.0
279,99.5,89.5,3.0
280,100.5,89.5,3.0
281,101.5,89.5,3.0
282,102.5,89.5,3.0
283,103.5,89.5,3.0
284,104.5,89.5,3.0
285,105.5,89.5,3.0
286,106.5,89.5,3.0
287,107.5,89.5,3.0
288,108.5,89.5,3.0
289,109.5,89.5,3.0
290,110.5,89.5,3.0
291,111.5,89.5,3.0
292,112.5,89.5,3.0
293,113.5,89.5,3.0
294,114.5,89.5,3.0
295,115.5,89.5,3.0
296,116.5,89.5,3.0
297,117.5,89.5,3.0
298,118.5,89.5,3.0
299,119.5,89.5,3.0
300,120.5,89.5,3.0
301,121.5,89.5,3.0
302,122.5,89.5,3.0
303,123.5,89.5,3.0
304,124.5,89.5,3.0
305,125.5,89.5,3.0
306,126.5,89.5,3.0
307,127.5,89.5,3.0
308,128.5,89.5,3.0
309,129.5,89.5,3.0
310,130.5,89.5,3.0
311,131.5,89.5,3.0
312,132.5,89.5,3.0
313,133.5,89.5,3.0
314,134.5,89.5,3.0
315,135.5,89.5,3.0
316,136.5,89.5,3.0
317,137.5,89.5,3.0
318,138.5,89.5,3.0
319,139.5,89.5,3.0
320,140.5,89.5,3.0
321,141.5,89.5,3.0
322,142.5,89.5,3.0
323,143.5,89.5,3.0
324,144.5,89.5,3.0
325,145.5,89.5,3.0
326,146.5,89.5,3.0
327,147.5,89.5,3.0
328,148.5,89.5,3.0
329,149.5,89.5,3.0
330,150.5,89.5,3.0
331,151.5,89.5,3.0
332,152.5,89.5,3.0
333,153.5,89.5,3.0
334,154.5,89.5,3.0
335,155.5,89.5,3.0
336,156.5,89.5,3.0
337,157.5,89.5,3.0
338,158.5,89.5,3.0
339,159.5,89.5,3.0
340,160.5,89.5,3.0
341,161.5,89.5,3.0
342,162.5,89.5,3.0
343,163.5,89.5,3.0
344,164.5,89.5,3.0
345,165.5,89.5,3.0
346,166.5,89.5,3.0
347,167.5,89.5,3.0
348,168.5,89.5,3.0
349,169.5,89.5,3.0
350,170.5,89.5,3.0
351,171.5,89.5,3.0
